Date,Symbol,Company,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,PChange,Volume
2025-11-14,BAJAJ-AUTO,BAJAJ-AUTOEQN,8867.5,8867.5,8781.5,8845.0,8867.5,-22.5,-0.25,550362.0
2025-11-14,MARUTI,MARUTIEQN,15725.0,15735.0,15572.0,15708.0,15749.0,-41.0,-0.26,253673.0
2025-11-14,APOLLOHOSP,APOLLOHOSPEQN,7440.0,7467.0,7375.0,7419.0,7440.5,-21.5,-0.29,218469.0
2025-11-14,NESTLEIND,NESTLEINDEQN,1275.2,1279.0,1262.4,1269.7,1275.2,-5.5,-0.43,675025.0
2025-11-14,ULTRACEMCO,ULTRACEMCOEQN,11941.0,11941.0,11786.0,11875.0,11934.0,-59.0,-0.49,161283.0
2025-11-14,TECHM,TECHMEQN,1444.2,1445.8,1422.9,1443.8,1451.4,-7.6,-0.52,1220540.0
2025-11-14,TITAN,TITANEQN,3839.2,3854.7,3800.0,3816.1,3839.2,-23.1,-0.6,575030.0
2025-11-14,SHRIRAMFIN,SHRIRAMFINEQN,809.5,817.95,803.9,808.5,814.0,-5.5,-0.68,5671835.0
2025-11-14,ICICIBANK,ICICIBANKEQN,1374.0,1381.2,1363.2,1373.2,1385.9,-12.7,-0.92,9694305.0
2025-11-14,HINDALCO,HINDALCOEQN,807.0,812.5,796.0,803.0,811.95,-8.95,-1.1,4113192.0
2025-11-14,JSWSTEEL,JSWSTEELEQN,1182.1,1182.9,1159.0,1169.2,1183.9,-14.7,-1.24,1058989.0
2025-11-14,TMPV,TMPVEQN,397.95,399.6,387.3,392.9,397.95,-5.05,-1.27,21812011.0
2025-11-14,HDFCLIFE,HDFCLIFEEQN,779.0,780.3,769.5,772.3,782.2,-9.9,-1.27,1372920.0
2025-11-14,TATASTEEL,TATASTEELEQN,177.52,177.7,172.12,174.0,176.65,-2.65,-1.5,38327726.0
2025-11-14,EICHERMOT,EICHERMOTEQN,6799.0,6850.0,6670.0,6699.5,6855.0,-155.5,-2.27,738978.0
2025-11-14,INFY,INFYEQN,1520.0,1530.0,1488.8,1505.8,1541.8,-36.0,-2.33,9737271.0
2025-11-15,NIFTY 50,NIFTY 50,25767.9,25940.2,25740.8,25910.05,25879.15,30.899999999997817,0.12,
2025-11-15,TMCV,TMCVBEN,310.0,335.0,306.3,331.0,320.75,10.25,3.2,165519798.0
2025-11-15,ETERNAL,ETERNALEQN,295.0,305.25,294.75,304.15,297.75,6.4,2.15,37378730.0
